,date,author,twitter_name,text,number_of_likes,number_of_retweets
111,2022-10-09 15:34:14+00:00,psilocybe blue frailejón,odradekish,Los parceros realmente se pusieron la 10 para demostrar que sí era posible dar todavía más cringe que los de la Javeriana https://t.co/2jWYDbzW2E,1,0
112,2022-10-09 15:33:31+00:00,Alcántara Aristides,Altara_Atides,"@UExternado Hablando de insultos que servirán en el futuro: 
—¡Tu papá salió en la Javeriana diciendo cuánto valía su outfit!
—¡Ah, sí! ¡Pues tu mamá apareció en el Externado diciendo que su ropa no le importa!",3,0
113,2022-10-09 15:31:01+00:00,Ana María •,tmfl__,En serio? En serio el externado hizo un video para dejar mal a la javeriana y término fue quedado peor? En serio la javeriana es tendencia desde hace 4 días por una pinche ropa? ES EN SERIO!?,6,0
114,2022-10-09 15:30:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"Profesionales en medicina, ingeniería, diseño y música analizaron y demostraron desde sus áreas de trabajo cómo la ciencia, el arte y la tecnología se están encontrando para darle un lugar preponderante a la investigación y la creación. https://t.co/tloZFm8LM7 https://t.co/29dDmclwhE",1,1
115,2022-10-09 15:29:53+00:00,carrie -13,dilfsty_,q drama tan tonto q están haciendo los de la javeriana y el externado,0,0
116,2022-10-09 15:27:49+00:00,ᵉˢᵗᵒᶰᵒᵉˢᶜᶤᵉʳᵗᵒ,estonoescierto,"Team: javeriano superficial q compra ropa ultra cara y se ufana de esa bobería en TIKTOK
Team Extrenado: superioridad moral de mierda.
Obvio team Javeriana https://t.co/VsUXI6Vcmr",0,0
117,2022-10-09 15:22:40+00:00,Luisa Ojeda,LuisaOjeda13,me quedo con los de la javeriana. https://t.co/LakaarkVLf,0,0
118,2022-10-09 15:19:33+00:00,Dra. Malu 🦩,mlberp,"La javeriana                        El externado 
                               🤝🏻

                     Qué necesidad!!",7,0
119,2022-10-09 15:16:53+00:00,El Teusaquiyorker,TeusaquiyorkerL,"@luisaciro @Feloarias En el Externado te cobran de tacazo el año, pero es la mitad de precio el semestre que la Javeriana (por lo menos en el pregrado).",0,0
120,2022-10-09 15:14:47+00:00,Alquimista de Acertijos 🚫❓❌,Jigsaw234,@lapulgarcitav28 @HailGU2 Que vale más el semestre en la Nacional que en la Javeriana 🤣🤣🤣🤣🤣🤣,0,0
121,2022-10-09 15:10:24+00:00,Andres Garcia,ACGAndres,"-Petristas perezosos , quieren todo regalado, Fuera Petro!!

Wilmer, estudiante de la Javeriana, 25 años, vive con sus papas, aun le compran su ropa, vive de la mesada y fuma marihuana a escondidas",0,0
